Sample ID,Lithological descripton,"Packing (Embry & Klovan, 1971)",Calcite (%),MgCO3 in dolomite (%mol),Sr(ppm),IC (%Wt),Ti(ppm),Zr(ppm),Mn(ppm),V/Cr,Ni/Co,Ce/Ce*,δ13C (VPDB),1σ,δ18O (VPDB) ,1σ,87Sr/86Sr Initial Value,1 SE,δ26MgDSM3,2σ,δ25MgDSM3,2σ
MG28,Limestone,mudstone,1.00,,227.61,11.12,160.27,5.37,217.48,1.22,13.19,0.52,0.06,0.14,-7.76,0.17,0.707772,6,,,,
MG27,Limestone,wackestone,1.00,,273.80,,564.47,12.44,327.90,2.88,9.61,1.01,0.97,0.12,-7.24,0.12,0.707658,4,,,,
MG26,Limestone,mudstone,1.00,,248.07,11.65,482.75,12.39,229.62,2.51,11.55,0.88,0.49,0.12,-6.97,0.11,0.707631,3,,,,
MG25,Limestone,wackestone,1.00,,233.51,13.00,492.40,12.75,239.66,1.99,11.23,0.85,0.46,0.11,-6.64,0.18,0.707655,4,,,,
MG24,Dolomite,mudstone,0.24,47.67,222.95,,1061.39,60.81,834.70,1.21,4.88,1.39,1.79,0.08,-1.59,0.09,0.707267,5,-2.01,0.02,-1.04,0.03
MG23,Dolomitic limestone,mudstone,0.44,47.67,293.62,13.00,975.78,86.74,748.39,1.59,11.00,1.44,0.84,0.11,-1.47,0.11,0.707346,4,,,,
MG22,Limestone,mudstone,0.83,47.70,375.73,,1025.21,60.79,780.33,1.58,7.18,1.29,0.62,0.11,0.91,0.09,0.707366,4,,,,
MG21,Limestone,mudstone,0.95,47.73,486.12,13.00,1336.73,49.29,466.33,1.28,10.57,1.37,1.28,0.11,0.63,0.10,0.707359,5,,,,
MG20,Dolomite,packstone,0.00,47.60,251.65,,196.73,5.13,616.59,2.56,11.60,0.89,2.40,0.10,3.51,0.09,0.707514,3,-1.96,0.03,-1.00,0.01
MG19,Dolomite,mudstone,0.00,47.97,330.44,,471.56,9.41,421.58,4.36,10.00,1.18,0.91,0.13,4.45,0.13,0.707469,3,-1.98,0.05,-1.04,0.06
MG18,Limestone,packstone,1.00,,319.10,12.46,775.88,28.90,553.74,2.31,15.12,1.32,-0.89,0.06,-0.94,0.05,0.707544,4,,,,
